Sample ID,Cd,Cu,Ni,Mn,Fe,Zn
1Ah_m_x_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x_b,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x_c,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x1_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x1_b,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x1_c,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x2_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x2_b,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_m_x2_c,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x_b,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x_c,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x1_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x1_b,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x1_c,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x2_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x2_b,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x2_c,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x_a,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x_b,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x_c,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x1_a,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x1_b,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x1_c,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x2_a,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x2_b,0.45,2.48,3.45,46.35,65.63,5.2
1Av_m_x2_c,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x_a,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x_b,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x_c,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x1_a,0.45,2.48,3.45,46.35,65.63,5.2
1Ah_x1_b,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x1_c,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x2_a,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x2_b,0.45,2.48,3.45,46.35,65.63,5.2
1Av_x2_c,0.45,2.48,3.45,46.35,65.63,5.2
1Bh_m_x_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x1_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x1_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x1_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x2_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x2_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_m_x2_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x1_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x1_b,0.42,2.61,3.55,44.81,69.11,5.28
